date,jobcountry,ai_share_postings,is_outlier_ai_share_postings,year,quarter,ai_share_postings_suspect
2019-01-01,AU,2.31409256370255,False,2019,1,False
2019-01-01,CA,1.79959744330404,False,2019,1,False
2019-01-01,DE,1.99917776183925,False,2019,1,False
2019-01-01,FR,2.58012856157833,False,2019,1,False
2019-01-01,GB,2.23039370035622,False,2019,1,False
2019-01-01,IE,4.20661752480186,False,2019,1,False
2019-01-01,IT,2.20028900946097,False,2019,1,False
2019-01-01,NL,1.6922442396597,False,2019,1,False
2019-01-01,US,1.71521638431397,False,2019,1,False
2019-01-02,US,1.71620233973217,False,2019,1,False
2019-01-02,NL,1.69563365848309,False,2019,1,False
2019-01-02,IT,2.20249161397925,False,2019,1,False
2019-01-02,IE,4.20830848432963,False,2019,1,False
2019-01-02,CA,1.80640725856146,False,2019,1,False
2019-01-02,FR,2.58027825654855,False,2019,1,False
2019-01-02,DE,1.99787390369051,False,2019,1,False
2019-01-02,AU,2.31460852637004,False,2019,1,False
2019-01-02,GB,2.23495481210247,False,2019,1,False
2019-01-03,IE,4.17624870450364,False,2019,1,False
2019-01-03,US,1.70876640405628,False,2019,1,False
2019-01-03,NL,1.6956890919846,False,2019,1,False
2019-01-03,GB,2.22713883838395,False,2019,1,False
2019-01-03,IT,2.19714837835143,False,2019,1,False
2019-01-03,DE,2.00085525803278,False,2019,1,False
2019-01-03,FR,2.57755279485425,False,2019,1,False
2019-01-03,CA,1.80440495342473,False,2019,1,False
2019-01-03,AU,2.30615486074326,False,2019,1,False
2019-01-04,NL,1.69320492220665,False,2019,1,False
2019-01-04,IT,2.20788544166842,False,2019,1,False
2019-01-04,IE,4.1616296689794,False,2019,1,False
2019-01-04,GB,2.21467419191763,False,2019,1,False
2019-01-04,US,1.71129072557021,False,2019,1,False
2019-01-04,DE,2.0037548486819,False,2019,1,False
2019-01-04,CA,1.80217457721666,False,2019,1,False
2019-01-04,AU,2.30497654112908,False,2019,1,False
2019-01-04,FR,2.57808382063626,False,2019,1,False
2019-01-05,US,1.7109638328616,False,2019,1,False
2019-01-05,NL,1.69067143293778,False,2019,1,False
2019-01-05,IT,2.21370726104147,False,2019,1,False
2019-01-05,IE,4.14506072546957,False,2019,1,False
2019-01-05,GB,2.19748245051948,False,2019,1,False
2019-01-05,DE,2.00228082649936,False,2019,1,False
2019-01-05,CA,1.79625613039245,False,2019,1,False
2019-01-05,AU,2.29819883568479,False,2019,1,False
2019-01-05,FR,2.57454922714369,False,2019,1,False
2019-01-06,IT,2.21675747322627,False,2019,1,False
2019-01-06,US,1.71327735137738,False,2019,1,False
2019-01-06,NL,1.69235324124281,False,2019,1,False
2019-01-06,IE,4.14483708064854,False,2019,1,False
2019-01-06,CA,1.79678037219577,False,2019,1,False
2019-01-06,FR,2.57046542682897,False,2019,1,False
2019-01-06,DE,2.00075417441389,False,2019,1,False
2019-01-06,GB,2.19257542024645,False,2019,1,False
2019-01-06,AU,2.29870694784958,False,2019,1,False
2019-01-07,US,1.71535334086832,False,2019,1,False
2019-01-07,NL,1.69490338684911,False,2019,1,False
2019-01-07,IT,2.22308473479592,False,2019,1,False
2019-01-07,IE,4.153130472105,False,2019,1,False
2019-01-07,GB,2.19147378572539,False,2019,1,False
2019-01-07,FR,2.56808563138642,False,2019,1,False
2019-01-07,DE,2.00013081316439,False,2019,1,False
2019-01-07,CA,1.79899632394145,False,2019,1,False
2019-01-07,AU,2.30270771289191,False,2019,1,False
2019-01-08,NL,1.69914745430587,False,2019,1,False
2019-01-08,IT,2.23125283947388,False,2019,1,False
2019-01-08,IE,4.15364126843074,False,2019,1,False
2019-01-08,GB,2.18480298177181,False,2019,1,False
2019-01-08,US,1.72284014392594,False,2019,1,False
2019-01-08,DE,2.00215381139862,False,2019,1,False
2019-01-08,CA,1.80119086170296,False,2019,1,False
2019-01-08,AU,2.29540865395577,False,2019,1,False
2019-01-08,FR,2.5585194962532,False,2019,1,False
2019-01-09,NL,1.71296415643358,False,2019,1,False
2019-01-09,IT,2.2315716804702,False,2019,1,False
2019-01-09,IE,4.14094655282147,False,2019,1,False
2019-01-09,GB,2.167304387889,False,2019,1,False
2019-01-09,US,1.72360229036232,False,2019,1,False
2019-01-09,DE,2.00312394780578,False,2019,1,False
2019-01-09,CA,1.79898227808418,False,2019,1,False
2019-01-09,AU,2.28133775663864,False,2019,1,False
2019-01-09,FR,2.545785928729,False,2019,1,False
2019-01-10,US,1.72699295375528,False,2019,1,False
2019-01-10,NL,1.7274306057264,False,2019,1,False
2019-01-10,IT,2.23408692827832,False,2019,1,False
2019-01-10,IE,4.13571976134084,False,2019,1,False
2019-01-10,GB,2.15146753537575,False,2019,1,False
2019-01-10,DE,2.00093969100336,False,2019,1,False
2019-01-10,CA,1.79944502414831,False,2019,1,False
2019-01-10,AU,2.26753845114747,False,2019,1,False
2019-01-10,FR,2.53206161130683,False,2019,1,False
2019-01-11,IE,4.1122115637869,False,2019,1,False
2019-01-11,US,1.72368537654703,False,2019,1,False
2019-01-11,NL,1.74130374414954,False,2019,1,False
2019-01-11,GB,2.13249759181921,False,2019,1,False
2019-01-11,IT,2.2235420496384,False,2019,1,False
2019-01-11,DE,1.99741907603719,False,2019,1,False
2019-01-11,FR,2.5155416603772,False,2019,1,False
2019-01-11,CA,1.79988916991847,False,2019,1,False
2019-01-11,AU,2.25282239852592,False,2019,1,False
2019-01-12,US,1.72064126478698,False,2019,1,False
2019-01-12,NL,1.75616214382012,False,2019,1,False
2019-01-12,IT,2.20700396052416,False,2019,1,False
2019-01-12,IE,4.0784711554635,False,2019,1,False
2019-01-12,GB,2.11298112957683,False,2019,1,False
2019-01-12,FR,2.4991756718833,False,2019,1,False
2019-01-12,DE,1.99673721795446,False,2019,1,False
2019-01-12,CA,1.80069642226619,False,2019,1,False
2019-01-12,AU,2.24240070262849,False,2019,1,False
2019-01-13,NL,1.76771139982037,False,2019,1,False
2019-01-13,IT,2.18858513041048,False,2019,1,False
2019-01-13,IE,4.04203881742562,False,2019,1,False
2019-01-13,GB,2.09409824999767,False,2019,1,False
2019-01-13,US,1.71835610236257,False,2019,1,False
2019-01-13,DE,1.99543908924153,False,2019,1,False
2019-01-13,CA,1.79988667367288,False,2019,1,False
2019-01-13,AU,2.23054630078561,False,2019,1,False
2019-01-13,FR,2.48858538968592,False,2019,1,False
2019-01-14,NL,1.77914188092155,False,2019,1,False
2019-01-14,IT,2.16936161120328,False,2019,1,False
2019-01-14,IE,3.99646756711702,False,2019,1,False
2019-01-14,GB,2.07652413864068,False,2019,1,False
2019-01-14,US,1.71645621935105,False,2019,1,False
2019-01-14,DE,1.9953461890613,False,2019,1,False
2019-01-14,CA,1.79764398266473,False,2019,1,False
2019-01-14,AU,2.21445935081562,False,2019,1,False
2019-01-14,FR,2.47839938822407,False,2019,1,False
2019-01-15,US,1.70183634927207,False,2019,1,False
2019-01-15,NL,1.78744272677777,False,2019,1,False
2019-01-15,IT,2.15459769380405,False,2019,1,False
2019-01-15,IE,3.94166048015283,False,2019,1,False
2019-01-15,GB,2.05784493947691,False,2019,1,False
2019-01-15,DE,1.99183320683168,False,2019,1,False
2019-01-15,CA,1.79496290743493,False,2019,1,False
2019-01-15,AU,2.20486670385235,False,2019,1,False
2019-01-15,FR,2.45712378623352,False,2019,1,False
2019-01-16,IE,3.91960569470991,False,2019,1,False
2019-01-16,NL,1.78423806810513,False,2019,1,False
2019-01-16,IT,2.1454032418375,False,2019,1,False
2019-01-16,GB,2.05209932715386,False,2019,1,False
2019-01-16,US,1.69378187232954,False,2019,1,False
2019-01-16,DE,1.98741356902141,False,2019,1,False
2019-01-16,AU,2.19566697816547,False,2019,1,False
2019-01-16,FR,2.43726597023381,False,2019,1,False
2019-01-16,CA,1.79249053429435,False,2019,1,False
2019-01-17,US,1.6874490551716,False,2019,1,False
2019-01-17,AU,2.19062156022415,False,2019,1,False
2019-01-17,CA,1.78800474188785,False,2019,1,False
2019-01-17,DE,1.98489895403123,False,2019,1,False
2019-01-17,FR,2.41621851774242,False,2019,1,False
2019-01-17,GB,2.04510772289467,False,2019,1,False
2019-01-17,IE,3.89124711197707,False,2019,1,False
2019-01-17,IT,2.13262828002573,False,2019,1,False
2019-01-17,NL,1.78176367411637,False,2019,1,False
2019-01-18,US,1.68392006137867,False,2019,1,False
2019-01-18,NL,1.78199674066153,False,2019,1,False
2019-01-18,IT,2.1298134254555,False,2019,1,False
2019-01-18,IE,3.88245341963546,False,2019,1,False
2019-01-18,CA,1.78085807192071,False,2019,1,False
2019-01-18,FR,2.3996709597429,False,2019,1,False
2019-01-18,DE,1.98417604114205,False,2019,1,False
2019-01-18,AU,2.17755476708851,False,2019,1,False
2019-01-18,GB,2.04375310275536,False,2019,1,False
2019-01-19,IE,3.89046510400946,False,2019,1,False
2019-01-19,NL,1.78748281544474,False,2019,1,False
2019-01-19,IT,2.13199408150607,False,2019,1,False
2019-01-19,US,1.68354617793188,False,2019,1,False
2019-01-19,GB,2.04630976888686,False,2019,1,False
2019-01-19,DE,1.98183294410171,False,2019,1,False
2019-01-19,CA,1.7738558820922,False,2019,1,False
2019-01-19,AU,2.16408857874054,False,2019,1,False
2019-01-19,FR,2.38224932150415,False,2019,1,False
2019-01-20,NL,1.79465413547191,False,2019,1,False
2019-01-20,IT,2.13646219638003,False,2019,1,False
2019-01-20,IE,3.90146869197585,False,2019,1,False
2019-01-20,GB,2.04676480238149,False,2019,1,False
2019-01-20,US,1.68598412663392,False,2019,1,False
2019-01-20,DE,1.98005147419297,False,2019,1,False
2019-01-20,CA,1.77024198091851,False,2019,1,False
2019-01-20,AU,2.1488166424917,False,2019,1,False
2019-01-20,FR,2.36194624378951,False,2019,1,False
2019-01-21,US,1.68764187299898,False,2019,1,False
2019-01-21,NL,1.80176952731306,False,2019,1,False
2019-01-21,IT,2.13810604994269,False,2019,1,False
2019-01-21,IE,3.91622944013554,False,2019,1,False
2019-01-21,GB,2.04714762691236,False,2019,1,False
2019-01-21,DE,1.97630242230728,False,2019,1,False
2019-01-21,CA,1.76674490092474,False,2019,1,False
2019-01-21,AU,2.13653946813336,False,2019,1,False
2019-01-21,FR,2.34093581361878,False,2019,1,False
2019-01-22,IE,3.93062542116823,False,2019,1,False
